access_size, rnd_read_latency, seq_read_latency, rnd_write_latency, seq_write_latency,       rnd_r_l1_load, rnd_r_l1_miss, rnd_r_tlb_load, rnd_r_tlb_miss,       seq_r_l1_load, seq_r_l1_miss, seq_r_tlb_load, seq_r_tlb_miss,       rnd_w_l1_load, rnd_w_l1_miss, rnd_w_tlb_load, rnd_w_tlb_miss,       seq_w_l1_load, seq_w_l1_miss, seq_w_tlb_load, seq_w_tlb_miss, 
1, 67.182194, 77.485964, 130.975129, 141.090872,       55357816, 14087682, 55297457, 2698114,       55509290, 14217089, 55538109, 2775466,       55546648, 12689417, 55683458, 2128713,       47814346, 11639938, 47749201, 2279352,       
2, 112.449673, 98.785509, 267.863330, 166.148670,       75339661, 25891384, 75343891, 5370898,       75292377, 24856209, 75377457, 2779195,       65760612, 23512027, 65793815, 4870154,       57671061, 21743218, 57708488, 2270586,       
4, 238.808849, 148.166998, 542.664676, 210.974583,       115268558, 49519053, 115251881, 10613633,       115633207, 46255107, 115648780, 2733922,       85793388, 46668948, 85664275, 9950434,       77902194, 42331170, 77892974, 2206201,       
8, 499.522318, 230.618361, 1187.212925, 376.958690,       195205280, 98427505, 195470542, 25675600,       195624092, 85511998, 195711889, 2835741,       125682390, 99207576, 125722193, 24458272,       118056383, 84818103, 118293645, 1910238,       
16, 1194.349109, 418.543733, 2703.298422, 702.155731,       355419334, 191498596, 355315886, 71246820,       355700092, 165349165, 355635986, 2923959,       205681810, 228458946, 205665939, 79082556,       197866135, 164851510, 197907850, 2089898,       
32, 2776.074247, 689.238217, 6557.148275, 1229.831111,       674627089, 368014634, 674691795, 178378184,       674909907, 325814788, 674990402, 3082749,       365767857, 469228583, 365614142, 151232154,       357433707, 324753778, 357349134, 2275822,       
