access_size, rand_read_latency, seq_read_latency, rand_write_latency, seq_write_latency,       rnd_r_l1_load, rnd_r_l1_miss, rnd_r_tlb_load, rnd_r_tlb_miss,       seq_r_l1_load, seq_r_l1_miss, seq_r_tlb_load, seq_r_tlb_miss,       rnd_w_l1_load, rnd_w_l1_miss, rnd_w_tlb_load, rnd_w_tlb_miss,       seq_w_l1_load, seq_w_l1_miss, seq_w_tlb_load, seq_w_tlb_miss, 
1, 35.965331, 34.539297, 37.587673, 35.298933,       15007141, 13577445, 15006999, 5002132,       15017611, 13583069, 15017587, 4998397,       20003545, 13572181, 20003424, 4432117,       14978203, 13562775, 14978367, 4334213,       
2, 68.883187, 41.554527, 68.758200, 46.633598,       30010806, 27187006, 30012060, 10007601,       19994592, 18940271, 19995336, 5150751,       35008139, 27208739, 35008583, 8760909,       19991938, 18977967, 19969909, 4435745,       
4, 133.103956, 53.318530, 134.195785, 74.340385,       60015935, 54359720, 60032449, 20000250,       30004751, 29442298, 29982067, 5315660,       65007642, 54335519, 65009335, 17478914,       29996224, 29536751, 29996979, 4428526,       
8, 263.499511, 86.743975, 261.681496, 134.274408,       120029154, 108734268, 120027206, 40005860,       49974098, 49993825, 50002855, 5617683,       125008183, 108677818, 125004546, 34680275,       49994358, 51063312, 49971612, 4802940,       
16, 524.194465, 164.821041, 523.252867, 228.118696,       240023824, 217309535, 240026833, 79986161,       89948318, 90431268, 89947971, 5605414,       244983502, 217309814, 244986065, 69640298,       89916488, 91731213, 89916884, 4552900,       
32, 1053.646439, 247.922972, 1053.328824, 354.926089,       480100655, 434498269, 480084423, 159980412,       170011173, 170898401, 170009057, 5157546,       485070739, 434803998, 485070288, 139111547,       170000154, 173701057, 169998625, 4420318,       
