access_size, rnd_read_latency, seq_read_latency, rnd_write_latency, seq_write_latency,       rnd_r_l1_load, rnd_r_l1_miss, rnd_r_tlb_load, rnd_r_tlb_miss,       seq_r_l1_load, seq_r_l1_miss, seq_r_tlb_load, seq_r_tlb_miss,       rnd_w_l1_load, rnd_w_l1_miss, rnd_w_tlb_load, rnd_w_tlb_miss,       seq_w_l1_load, seq_w_l1_miss, seq_w_tlb_load, seq_w_tlb_miss, 
1, 57.624197, 64.913033, 109.903486, 111.610295,       63598262, 17746273, 63776738, 2779495,       63699520, 17807274, 63740977, 2824746,       63626941, 16562896, 63619170, 2665526,       51794581, 13526735, 51895258, 2486830,       
2, 81.928304, 82.042024, 185.852216, 144.806052,       73537175, 28173266, 73649606, 5781565,       73931990, 28298987, 73555827, 2893481,       73787734, 27007598, 73929253, 4607820,       61809911, 23747844, 62034138, 2599310,       
4, 160.263461, 130.198390, 377.765331, 200.080068,       93420486, 48585583, 93912302, 5438581,       93583639, 48735053, 93649974, 3039138,       93561485, 48006080, 93711629, 4701250,       81924649, 47540836, 81883385, 2461632,       
8, 341.689323, 210.583720, 756.613142, 356.964343,       133570499, 89175089, 133408126, 6294120,       133854034, 89366209, 133367797, 3194269,       133648983, 92702956, 134278785, 5206912,       121777668, 87255955, 121762654, 2773866,       
16, 767.234515, 365.819905, 1649.943498, 643.645152,       213082841, 170672732, 213081112, 7851209,       213136636, 169567471, 213265626, 3482546,       213742807, 200729064, 213631321, 6162051,       201706800, 167563643, 201520322, 3284524,       
32, 1894.107050, 607.825987, 3863.795366, 1107.077066,       372540455, 334056614, 372682688, 9669644,       373053430, 329721978, 372859625, 3594534,       373649458, 423091752, 373479965, 7823639,       361215701, 327750316, 361149347, 2852829,       
