access_size, rnd_read_r, rnd_read_w, seq_read_r, seq_read_w, rnd_write_r, rnd_write_w, seq_write_r, seq_write_w, 
1, 4127.69, 441.871, 2847.56, 60.7756, 3251.81, 3127.04, 3120.7, 3093.31,
2, 4181.2, 122.338, 5173.61, 430.137, 4126.1, 4049.88, 5185.96, 5076.96,
4, 4824.31, 350.288, 6307.57, 94.8604, 3984.32, 3924.08, 6008.22, 5781.68,
8, 4656.07, 66.573, 6484.33, 122.683, 3959.96, 3920.25, 6430.32, 6138.2,
16, 4347.94, 116.341, 12475.8, 84.5232, 3616.9, 3563.12, 12024.6, 6516.82,
32, 3841.7, 80.4733, 12052.5, 55.4789, 3164.89, 2990.78, 11289, 8257.85,
