access_size, rnd_read_r, rnd_read_w, seq_read_r, seq_read_w, rnd_write_r, rnd_write_w, seq_write_r, seq_write_w,
1, 942.36, 0, 818.047, 0, 557.841, 557.73, 518.468, 518.399,
2, 1146.14, 5.73882e-05, 1313.92, 0, 550.153, 550.161, 845.631, 842.201,
4, 1047.57, 0, 1752.82, 0.0286296, 528.243, 528.137, 1303.84, 1240.26,
8, 955.964, 0.00467059, 2160.98, 0, 463.713, 463.664, 1454.41, 1387.93,
16, 753.691, 0.0021889, 3986.13, 0, 379.191, 379.018, 2957.23, 1514.05,
32, 602.084, 0.000995551, 3871.78, 0, 313.921, 312.046, 2797.46, 1766.85,
