access_size, rnd_read_latency, seq_read_latency, rnd_write_latency, seq_write_latency,       rnd_r_l1_load, rnd_r_l1_miss, rnd_r_tlb_load, rnd_r_tlb_miss,       seq_r_l1_load, seq_r_l1_miss, seq_r_tlb_load, seq_r_tlb_miss,       rnd_w_l1_load, rnd_w_l1_miss, rnd_w_tlb_load, rnd_w_tlb_miss,       seq_w_l1_load, seq_w_l1_miss, seq_w_tlb_load, seq_w_tlb_miss, 
1, 18.517207, 20.453773, 19.670959, 20.015597,       40000878, 11907933, 40004658, 2710225,       40069897, 11917218, 40115833, 2692060,       40115977, 11835881, 40157057, 2240454,       40007382, 11824535, 40032952, 2121300,       
2, 25.462476, 24.370873, 27.284910, 25.384515,       49960782, 22270297, 49965954, 5208600,       50003917, 22406297, 50023495, 2693745,       50089225, 22425266, 50069704, 4289915,       50012405, 22392214, 50042252, 2154868,       
4, 44.063058, 39.000475, 49.084816, 42.564384,       70066849, 42649685, 69995537, 5040776,       69989019, 42694886, 70025439, 2715808,       70101776, 43219370, 70087622, 4524822,       69976358, 42903672, 69977159, 2068749,       
8, 82.314609, 77.233769, 92.593939, 83.350565,       110262973, 83088195, 110099967, 5803696,       110017995, 83802492, 109986615, 2869706,       110063001, 87472191, 110141459, 4747063,       110068281, 84297406, 110006190, 2166768,       
16, 170.256700, 135.823451, 187.384220, 149.921996,       189797742, 163880288, 189781674, 6802158,       189987519, 163971355, 189993286, 3029742,       190043327, 245018505, 190040023, 5591087,       189901164, 164933319, 189954290, 2235239,       
32, 357.192813, 217.533104, 384.515417, 246.647692,       349395287, 325198366, 349391447, 8255112,       349774792, 324683947, 349754908, 3226515,       350037742, 569558993, 349948810, 6996059,       349581571, 325535188, 349498360, 2283217,       
